,tags_first,title,most_similar_1
98,analytics,Heap Analytics: an adhoc analysis dream come true,b'What is a tag manager?' (0.67)
99,cro,Getting started with Sequential Messaging: the 4 main stages,b'3 conversion rate optimisation trends for 2015' (0.66)
100,opinion,IE8 is no longer worth our client's money,b'Five insights  on display campaigns from Facebook\xe2\x80\x99s Atlas' (0.78)
101,opinion,4 immediate improvements in our Scrum process,"b'Takeaways from a talk about LeSS, an evening with Bas Vodde' (0.65)"
102,analytics,Setting up a cookie law compliant Google Analytics tracker,b'Bring on- and offline together with iBeacons and Google Analytics' (0.78)
103,code,How npm 3 solves WebStorm's performance issues,b'Webstorm 10 improves the performance of file indexing' (0.76)
104,cro,3 conversion rate optimisation trends for 2015,b'Viewability: No Guarantee for Success' (0.79)
105,analytics,5 key takeaways from the Google Analytics User Conference in Amsterdam,b'A lean approach to better recruitment insights' (0.71)
106,code,Google OAuth 2: access data from a Google user in your application,b'Force Express to handle all requests over HTTPS' (0.73)
107,analytics,Export preview urls in Optimizely without starting a test,b'Passing query string parameters to a creative in Appnexus' (0.66)
108,code,"Angular 2: Where have my factories, services, constants and values gone?",b'Caching $http requests in AngularJS' (0.77)
109,events,Xebicon Amsterdam 2015: our notes (1/2),"b'Takeaways from a talk about LeSS, an evening with Bas Vodde' (0.76)"
110,mobile,How we keep our mobile device lab small and simple,"b""Change your website's address bar or device status bar to match your brand colors"" (0.51)"
111,analytics,Viewability: No Guarantee for Success,b'3 conversion rate optimisation trends for 2015' (0.79)
112,code,How to update out of date npm dependencies,"b""How npm 3 solves WebStorm's performance issues"" (0.75)"
113,code,5 reasons why you need a JavaScript style guide,b'Overcoming blog challenges by introducing Geek.' (0.73)
114,marketing,Transforming an online marketing agency talk at Nextbuild: the slides,b'What I\xe2\x80\x99ve learned by giving a talk about data to 100 people' (0.6)
115,code,Using String.fromCharCode when encoding gets out of control,b'Debugging Adobe Generator plugins for Photoshop in production' (0.78)
116,code,How to add VWO test variants to your Snowplow Analytics data,b'Simplify iFrame tracking for Universal Analytics' (0.73)
117,code,Debugging Adobe Generator plugins for Photoshop in production,b'Using String.fromCharCode when encoding gets out of control' (0.78)
118,code,Fixing the T-date bug in Safari mobile,b'Caching $http requests in AngularJS' (0.71)
119,marketing,Higher conversion rates with a shopping cart abandonment program,b'Viewability: No Guarantee for Success' (0.62)
120,data science,Optimizing media spends using S-response curves,b'The GAM approach to spend your money more efficiently!' (0.76)
121,code,How to get Airbnb's JavaScript style guide working in WebStorm,b'How to set up ESLint with Airbnb JavaScript Style Guide in WebStorm' (0.84)
122,marketing,Masterclass mobile? Practise what you preach!,b'Research: Mobile advertising increases both online and offline sales' (0.68)
123,analytics,Introducing Formagical.JS: form analytics without dashboarding,b'Collecting form abandonment data with Formagical and Google Analytics' (0.66)
124,code,Webstorm 10 improves the performance of file indexing,"b""How npm 3 solves WebStorm's performance issues"" (0.76)"
125,data science,Data collection and strange values in CSV format,b'Calculating ad stocks in a fast and readable way in Python' (0.81)
126,ghostery,Introducing Bananalytics,"b""Using HTML5's device orientation to track device behaviour"" (0.77)"
127,optimizely,Live Optimizely Variant Switcher,b'Simplify iFrame tracking for Universal Analytics' (0.78)
128,cro,In the heat of the moment: Integrating Mouseflow with Visual Website Optimizer,b'We be clickin \xe2\x80\x99n tappin: adjusting a CTA based on device capabilities' (0.65)
129,data science,Calculating ad stocks in a fast and readable way in Python,b'Data collection and strange values in CSV format' (0.81)
130,angularjs,Caching $http requests in AngularJS,b'Catch React errors and log them to Sentry' (0.83)
131,cro,We be clickin ’n tappin: adjusting a CTA based on device capabilities,"b""Thoughts on new events for Apple's new Macbook Force Touch trackpad"" (0.71)"
132,google analytics,Simplify iFrame tracking for Universal Analytics,b'Live Optimizely Variant Switcher' (0.78)
133,thoughts,Thoughts on new events for Apple's new Macbook Force Touch trackpad,b'We be clickin \xe2\x80\x99n tappin: adjusting a CTA based on device capabilities' (0.71)
134,testing,Monitor your A/B tests with Optimizely and Pingdom,b'In the heat of the moment: Integrating Mouseflow with Visual Website Optimizer' (0.65)
135,analytics,Bring on- and offline together with iBeacons and Google Analytics,b'A lean approach to better recruitment insights' (0.78)
136,html5,Using HTML5's device orientation to track device behaviour,b'Introducing Bananalytics' (0.77)
137,introduction,Overcoming blog challenges by introducing Geek.,b'5 reasons why you need a JavaScript style guide' (0.73)
