,datetime_session,user_id,session_number,pageviews,datetime_first_engagement,is_conversion,pageviews_cumsum
48,2016-09-10 13:01:41,bb44c93c-4192-4b5b-b82a-f571e9957891,4,6,2016-09-13 20:30:19,False,24
49,2016-09-13 20:08:19,bb44c93c-4192-4b5b-b82a-f571e9957891,5,12,2016-09-13 20:30:19,True,36
52,2016-09-03 10:10:42,b613c091-da43-42bc-92c6-78a8855f29d8,1,3,2016-09-08 04:08:12,False,3
53,2016-09-05 13:01:01,b613c091-da43-42bc-92c6-78a8855f29d8,2,21,2016-09-08 04:08:12,False,24
54,2016-09-08 04:04:12,b613c091-da43-42bc-92c6-78a8855f29d8,3,9,2016-09-08 04:08:12,True,33
60,2016-09-04 22:10:30,421c1fe4-6d9c-43cc-a664-3ace0b415d71,1,15,2016-09-10 06:56:41,False,15
61,2016-09-08 07:07:25,421c1fe4-6d9c-43cc-a664-3ace0b415d71,2,2,2016-09-10 06:56:41,False,17
62,2016-09-10 06:06:41,421c1fe4-6d9c-43cc-a664-3ace0b415d71,3,4,2016-09-10 06:56:41,True,21
67,2016-09-04 07:07:16,0173ecdd-ab58-448d-b31b-e220a5bfeeb4,1,8,2016-09-07 15:23:54,False,8
68,2016-09-07 15:03:54,0173ecdd-ab58-448d-b31b-e220a5bfeeb4,2,5,2016-09-07 15:23:54,True,13
79,2016-09-02 14:02:26,d99d5e55-2d7e-4444-a081-05da3d3fea1a,1,8,2016-09-03 22:23:45,False,8
80,2016-09-03 22:10:45,d99d5e55-2d7e-4444-a081-05da3d3fea1a,2,3,2016-09-03 22:23:45,True,11
89,2016-09-02 02:02:15,e012affb-5650-485a-aa0f-02e10574eda5,1,4,2016-09-06 22:12:43,False,4
90,2016-09-03 08:08:49,e012affb-5650-485a-aa0f-02e10574eda5,2,1,2016-09-06 22:12:43,False,5
91,2016-09-05 08:08:01,e012affb-5650-485a-aa0f-02e10574eda5,3,6,2016-09-06 22:12:43,False,11
92,2016-09-06 21:09:43,e012affb-5650-485a-aa0f-02e10574eda5,4,16,2016-09-06 22:12:43,True,27
97,2016-09-04 04:04:18,45a90a22-2b40-449b-8f8e-5697a2c30769,1,2,2016-09-13 03:26:50,False,2
98,2016-09-05 18:06:29,45a90a22-2b40-449b-8f8e-5697a2c30769,2,5,2016-09-13 03:26:50,False,7
99,2016-09-07 14:02:38,45a90a22-2b40-449b-8f8e-5697a2c30769,3,1,2016-09-13 03:26:50,False,8
100,2016-09-11 06:06:13,45a90a22-2b40-449b-8f8e-5697a2c30769,4,4,2016-09-13 03:26:50,False,12
101,2016-09-13 03:03:50,45a90a22-2b40-449b-8f8e-5697a2c30769,5,10,2016-09-13 03:26:50,True,22
110,2016-09-02 09:09:09,6bc4ac55-0607-4271-b569-02d54cea7202,1,1,2016-09-06 09:19:02,False,1
111,2016-09-06 08:08:02,6bc4ac55-0607-4271-b569-02d54cea7202,2,8,2016-09-06 09:19:02,True,9
115,2016-09-04 19:07:35,30c79c2a-e482-471b-8837-6bb8ed08f657,1,6,2016-09-11 02:19:19,False,6
116,2016-09-07 02:02:25,30c79c2a-e482-471b-8837-6bb8ed08f657,2,1,2016-09-11 02:19:19,False,7
117,2016-09-08 10:10:08,30c79c2a-e482-471b-8837-6bb8ed08f657,3,5,2016-09-11 02:19:19,False,12
118,2016-09-09 22:10:59,30c79c2a-e482-471b-8837-6bb8ed08f657,4,2,2016-09-11 02:19:19,False,14
119,2016-09-11 02:02:19,30c79c2a-e482-471b-8837-6bb8ed08f657,5,9,2016-09-11 02:19:19,True,23
122,2016-09-02 04:04:54,303e39a4-8575-4b6e-a690-c18c8176445b,1,4,2016-09-07 09:00:09,False,4
123,2016-09-06 04:04:09,303e39a4-8575-4b6e-a690-c18c8176445b,2,4,2016-09-07 09:00:09,False,8
124,2016-09-07 08:08:09,303e39a4-8575-4b6e-a690-c18c8176445b,3,14,2016-09-07 09:00:09,True,22
131,2016-09-02 19:07:59,990ed205-5197-47f7-92e0-cd1914109546,1,7,2016-09-08 20:51:18,False,7
132,2016-09-04 15:03:39,990ed205-5197-47f7-92e0-cd1914109546,2,4,2016-09-08 20:51:18,False,11
133,2016-09-05 22:10:09,990ed205-5197-47f7-92e0-cd1914109546,3,10,2016-09-08 20:51:18,False,21
134,2016-09-08 20:08:18,990ed205-5197-47f7-92e0-cd1914109546,4,7,2016-09-08 20:51:18,True,28
139,2016-09-04 17:05:41,d485129a-9fa8-4797-9c04-05081d999e36,1,1,2016-09-09 23:59:52,False,1
140,2016-09-08 05:05:53,d485129a-9fa8-4797-9c04-05081d999e36,2,10,2016-09-09 23:59:52,False,11
141,2016-09-09 23:11:52,d485129a-9fa8-4797-9c04-05081d999e36,3,9,2016-09-09 23:59:52,True,20
145,2016-09-04 09:09:49,d502162a-1be7-4687-8a23-56cd436eec7e,1,7,2016-09-06 08:53:42,False,7
146,2016-09-06 08:08:42,d502162a-1be7-4687-8a23-56cd436eec7e,2,9,2016-09-06 08:53:42,True,16
152,2016-09-04 19:07:26,a2d29f4c-e9c6-47d7-a65e-5c13fffaec42,1,5,2016-09-07 06:56:48,False,5
153,2016-09-07 06:06:48,a2d29f4c-e9c6-47d7-a65e-5c13fffaec42,2,4,2016-09-07 06:56:48,True,9
156,2016-09-02 20:08:31,5d5dd4f2-7d9d-4d6b-ab22-f0e6f8010e50,1,1,2016-09-07 10:37:15,False,1
157,2016-09-05 02:02:52,5d5dd4f2-7d9d-4d6b-ab22-f0e6f8010e50,2,23,2016-09-07 10:37:15,False,24
158,2016-09-07 10:10:15,5d5dd4f2-7d9d-4d6b-ab22-f0e6f8010e50,3,8,2016-09-07 10:37:15,True,32
165,2016-09-02 09:09:49,9c9bb0ae-17ba-4206-a1ac-084266a425b3,1,7,2016-09-08 19:24:45,False,7
166,2016-09-05 12:12:20,9c9bb0ae-17ba-4206-a1ac-084266a425b3,2,1,2016-09-08 19:24:45,False,8
167,2016-09-07 16:04:21,9c9bb0ae-17ba-4206-a1ac-084266a425b3,3,17,2016-09-08 19:24:45,False,25
168,2016-09-08 19:07:45,9c9bb0ae-17ba-4206-a1ac-084266a425b3,4,8,2016-09-08 19:24:45,True,33
175,2016-09-04 01:01:29,c833407a-b694-4db5-bcdc-987cbed63c0b,1,1,2016-09-06 20:47:07,False,1
176,2016-09-06 20:08:07,c833407a-b694-4db5-bcdc-987cbed63c0b,2,5,2016-09-06 20:47:07,True,6
186,2016-09-02 16:04:14,86f1feea-a5d5-47b1-833a-d95ae5880bbe,1,8,2016-09-08 03:04:18,False,8
187,2016-09-05 04:04:07,86f1feea-a5d5-47b1-833a-d95ae5880bbe,2,13,2016-09-08 03:04:18,False,21
188,2016-09-08 02:02:18,86f1feea-a5d5-47b1-833a-d95ae5880bbe,3,7,2016-09-08 03:04:18,True,28
195,2016-09-03 02:02:35,46647b9b-90fd-42a8-9425-5354cb257245,1,2,2016-09-08 13:06:02,False,2
196,2016-09-06 23:11:28,46647b9b-90fd-42a8-9425-5354cb257245,2,2,2016-09-08 13:06:02,False,4
197,2016-09-08 12:12:02,46647b9b-90fd-42a8-9425-5354cb257245,3,4,2016-09-08 13:06:02,True,8
205,2016-09-04 07:07:50,c7cd9922-582e-4415-9887-d5cc19a0319f,1,13,2016-09-04 07:09:50,True,13
206,2016-09-04 22:10:33,d5306b89-4d61-4934-8637-a56f0948169b,1,5,2016-09-08 07:14:22,False,5
207,2016-09-06 15:03:08,d5306b89-4d61-4934-8637-a56f0948169b,2,6,2016-09-08 07:14:22,False,11
208,2016-09-08 07:07:22,d5306b89-4d61-4934-8637-a56f0948169b,3,2,2016-09-08 07:14:22,True,13
210,2016-09-02 06:06:21,1543c09c-6271-433d-96b9-a5e102678fb5,1,13,2016-09-02 06:09:21,True,13
216,2016-09-04 17:05:49,ff4f3584-4294-4997-ad40-8974c37b8470,1,12,2016-09-08 08:04:19,False,12
217,2016-09-08 07:07:19,ff4f3584-4294-4997-ad40-8974c37b8470,2,9,2016-09-08 08:04:19,True,21
220,2016-09-03 01:01:26,eae89b95-568d-4d95-aa0f-1858b96530db,1,8,2016-09-07 13:55:19,False,8
221,2016-09-04 04:04:35,eae89b95-568d-4d95-aa0f-1858b96530db,2,6,2016-09-07 13:55:19,False,14
222,2016-09-07 13:01:19,eae89b95-568d-4d95-aa0f-1858b96530db,3,5,2016-09-07 13:55:19,True,19
230,2016-09-02 08:08:28,9075a9e2-9d71-4af2-a191-c0d6e2982eb3,1,12,2016-09-06 14:33:23,False,12
231,2016-09-04 15:03:43,9075a9e2-9d71-4af2-a191-c0d6e2982eb3,2,2,2016-09-06 14:33:23,False,14
232,2016-09-06 14:02:23,9075a9e2-9d71-4af2-a191-c0d6e2982eb3,3,3,2016-09-06 14:33:23,True,17
234,2016-09-02 17:05:45,c86b9966-e784-4d5b-82b6-7c960e45b16b,1,3,2016-09-13 02:59:31,False,3
235,2016-09-03 22:10:51,c86b9966-e784-4d5b-82b6-7c960e45b16b,2,4,2016-09-13 02:59:31,False,7
236,2016-09-07 00:12:23,c86b9966-e784-4d5b-82b6-7c960e45b16b,3,2,2016-09-13 02:59:31,False,9
237,2016-09-08 18:06:24,c86b9966-e784-4d5b-82b6-7c960e45b16b,4,1,2016-09-13 02:59:31,False,10
238,2016-09-10 01:01:28,c86b9966-e784-4d5b-82b6-7c960e45b16b,5,8,2016-09-13 02:59:31,False,18
239,2016-09-13 02:02:31,c86b9966-e784-4d5b-82b6-7c960e45b16b,6,10,2016-09-13 02:59:31,True,28
247,2016-09-03 19:07:26,430957aa-ff53-46d8-9b3a-f4376ca7cc25,1,2,2016-09-07 09:47:48,False,2
248,2016-09-05 05:05:36,430957aa-ff53-46d8-9b3a-f4376ca7cc25,2,5,2016-09-07 09:47:48,False,7
249,2016-09-06 08:08:21,430957aa-ff53-46d8-9b3a-f4376ca7cc25,3,8,2016-09-07 09:47:48,False,15
250,2016-09-07 09:09:48,430957aa-ff53-46d8-9b3a-f4376ca7cc25,4,1,2016-09-07 09:47:48,True,16
253,2016-09-04 00:12:03,250d1f91-9c2d-424e-aa15-58987831a10a,1,9,2016-09-09 11:38:38,False,9
254,2016-09-07 02:02:45,250d1f91-9c2d-424e-aa15-58987831a10a,2,1,2016-09-09 11:38:38,False,10
255,2016-09-09 11:11:38,250d1f91-9c2d-424e-aa15-58987831a10a,3,2,2016-09-09 11:38:38,True,12
256,2016-09-03 05:05:09,c597484f-a730-4802-8d35-d7e2c9d65f88,1,9,2016-09-06 21:05:34,False,9
257,2016-09-06 20:08:34,c597484f-a730-4802-8d35-d7e2c9d65f88,2,20,2016-09-06 21:05:34,True,29
262,2016-09-02 05:05:48,a88cd412-b0b0-4cab-9d59-37b0452a073f,1,5,2016-09-12 03:47:27,False,5
263,2016-09-05 15:03:14,a88cd412-b0b0-4cab-9d59-37b0452a073f,2,1,2016-09-12 03:47:27,False,6
264,2016-09-08 20:08:07,a88cd412-b0b0-4cab-9d59-37b0452a073f,3,7,2016-09-12 03:47:27,False,13
265,2016-09-12 03:03:27,a88cd412-b0b0-4cab-9d59-37b0452a073f,4,3,2016-09-12 03:47:27,True,16
276,2016-09-04 16:04:14,bd847173-d71d-4659-8013-e17c8c9013b3,1,2,2016-09-19 12:56:05,False,2
277,2016-09-07 04:04:09,bd847173-d71d-4659-8013-e17c8c9013b3,2,2,2016-09-19 12:56:05,False,4
278,2016-09-09 17:05:29,bd847173-d71d-4659-8013-e17c8c9013b3,3,2,2016-09-19 12:56:05,False,6
279,2016-09-12 14:02:55,bd847173-d71d-4659-8013-e17c8c9013b3,4,1,2016-09-19 12:56:05,False,7
280,2016-09-13 18:06:21,bd847173-d71d-4659-8013-e17c8c9013b3,5,6,2016-09-19 12:56:05,False,13
281,2016-09-16 20:08:59,bd847173-d71d-4659-8013-e17c8c9013b3,6,5,2016-09-19 12:56:05,False,18
282,2016-09-19 12:12:05,bd847173-d71d-4659-8013-e17c8c9013b3,7,8,2016-09-19 12:56:05,True,26
285,2016-09-03 02:02:42,8a78df8e-be81-4a58-a38d-7109c6ca1488,1,2,2016-09-09 06:53:50,False,2
286,2016-09-05 02:02:00,8a78df8e-be81-4a58-a38d-7109c6ca1488,2,8,2016-09-09 06:53:50,False,10
287,2016-09-08 03:03:00,8a78df8e-be81-4a58-a38d-7109c6ca1488,3,4,2016-09-09 06:53:50,False,14
288,2016-09-09 06:06:50,8a78df8e-be81-4a58-a38d-7109c6ca1488,4,2,2016-09-09 06:53:50,True,16
291,2016-09-03 03:03:01,205a8b46-e533-48c7-81ab-0bf3bd73b3ca,1,20,2016-09-03 03:22:01,True,20
297,2016-09-05 00:12:52,d004cf1e-c542-4167-ba19-48d755ecb4ea,1,14,2016-09-12 04:54:53,False,14
298,2016-09-08 09:09:05,d004cf1e-c542-4167-ba19-48d755ecb4ea,2,2,2016-09-12 04:54:53,False,16
299,2016-09-10 02:02:14,d004cf1e-c542-4167-ba19-48d755ecb4ea,3,1,2016-09-12 04:54:53,False,17
300,2016-09-12 04:04:53,d004cf1e-c542-4167-ba19-48d755ecb4ea,4,13,2016-09-12 04:54:53,True,30
305,2016-09-04 22:10:46,d9c0ba60-d831-47c4-aec1-2781f5494075,1,1,2016-09-10 10:15:47,False,1
306,2016-09-06 13:01:19,d9c0ba60-d831-47c4-aec1-2781f5494075,2,9,2016-09-10 10:15:47,False,10
307,2016-09-10 10:10:47,d9c0ba60-d831-47c4-aec1-2781f5494075,3,1,2016-09-10 10:15:47,True,11
312,2016-09-02 22:10:59,3c72745a-9a47-4ab6-9e94-82cf3e16893f,1,4,2016-09-09 14:23:46,False,4
313,2016-09-05 03:03:36,3c72745a-9a47-4ab6-9e94-82cf3e16893f,2,1,2016-09-09 14:23:46,False,5
314,2016-09-06 05:05:28,3c72745a-9a47-4ab6-9e94-82cf3e16893f,3,3,2016-09-09 14:23:46,False,8
315,2016-09-09 14:02:46,3c72745a-9a47-4ab6-9e94-82cf3e16893f,4,25,2016-09-09 14:23:46,True,33
326,2016-09-04 22:10:40,965449cd-cc2c-4dc6-9d33-43036ec6e9be,1,2,2016-09-13 13:13:41,False,2
327,2016-09-07 22:10:04,965449cd-cc2c-4dc6-9d33-43036ec6e9be,2,12,2016-09-13 13:13:41,False,14
328,2016-09-11 03:03:21,965449cd-cc2c-4dc6-9d33-43036ec6e9be,3,1,2016-09-13 13:13:41,False,15
329,2016-09-13 12:12:41,965449cd-cc2c-4dc6-9d33-43036ec6e9be,4,1,2016-09-13 13:13:41,True,16
336,2016-09-04 01:01:28,cc979136-023f-40e4-a816-09bce3175167,1,2,2016-09-07 05:05:01,False,2
337,2016-09-07 05:05:01,cc979136-023f-40e4-a816-09bce3175167,2,15,2016-09-07 05:05:01,True,17
345,2016-09-02 15:03:40,27b5510c-36f3-44e2-ac40-eaf952723f5f,1,11,2016-09-02 15:25:40,True,11
347,2016-09-03 21:09:06,74d64c0c-7d11-4233-bac2-76f9b9a28333,1,1,2016-09-20 09:01:50,False,1
348,2016-09-07 00:12:58,74d64c0c-7d11-4233-bac2-76f9b9a28333,2,1,2016-09-20 09:01:50,False,2
349,2016-09-08 05:05:56,74d64c0c-7d11-4233-bac2-76f9b9a28333,3,4,2016-09-20 09:01:50,False,6
350,2016-09-11 09:09:45,74d64c0c-7d11-4233-bac2-76f9b9a28333,4,3,2016-09-20 09:01:50,False,9
351,2016-09-13 00:12:33,74d64c0c-7d11-4233-bac2-76f9b9a28333,5,1,2016-09-20 09:01:50,False,10
352,2016-09-16 01:01:04,74d64c0c-7d11-4233-bac2-76f9b9a28333,6,8,2016-09-20 09:01:50,False,18
353,2016-09-17 11:11:21,74d64c0c-7d11-4233-bac2-76f9b9a28333,7,5,2016-09-20 09:01:50,False,23
354,2016-09-20 08:08:50,74d64c0c-7d11-4233-bac2-76f9b9a28333,8,1,2016-09-20 09:01:50,True,24
356,2016-09-02 03:03:47,9697b1d2-f3d8-41ac-8167-b27c5a91d456,1,2,2016-09-09 10:03:06,False,2
357,2016-09-03 05:05:24,9697b1d2-f3d8-41ac-8167-b27c5a91d456,2,2,2016-09-09 10:03:06,False,4
358,2016-09-07 04:04:11,9697b1d2-f3d8-41ac-8167-b27c5a91d456,3,2,2016-09-09 10:03:06,False,6
359,2016-09-09 09:09:06,9697b1d2-f3d8-41ac-8167-b27c5a91d456,4,18,2016-09-09 10:03:06,True,24
361,2016-09-04 05:05:49,9001102c-671f-45a9-bed2-59607ec5c1c8,1,4,2016-09-08 20:05:55,False,4
362,2016-09-06 11:11:25,9001102c-671f-45a9-bed2-59607ec5c1c8,2,7,2016-09-08 20:05:55,False,11
363,2016-09-08 19:07:55,9001102c-671f-45a9-bed2-59607ec5c1c8,3,16,2016-09-08 20:05:55,True,27
368,2016-09-02 08:08:59,4ddea7d2-cd21-4d13-8f7f-8101818138c3,1,1,2016-09-11 20:00:08,False,1
369,2016-09-05 15:03:54,4ddea7d2-cd21-4d13-8f7f-8101818138c3,2,1,2016-09-11 20:00:08,False,2
370,2016-09-09 08:08:53,4ddea7d2-cd21-4d13-8f7f-8101818138c3,3,4,2016-09-11 20:00:08,False,6
371,2016-09-10 12:12:32,4ddea7d2-cd21-4d13-8f7f-8101818138c3,4,10,2016-09-11 20:00:08,False,16
372,2016-09-11 19:07:08,4ddea7d2-cd21-4d13-8f7f-8101818138c3,5,6,2016-09-11 20:00:08,True,22
376,2016-09-03 09:09:24,7aecde12-1cf6-4eb0-ae54-a684ec6c3c36,1,5,2016-09-10 21:11:21,False,5
377,2016-09-05 05:05:06,7aecde12-1cf6-4eb0-ae54-a684ec6c3c36,2,4,2016-09-10 21:11:21,False,9
378,2016-09-07 02:02:00,7aecde12-1cf6-4eb0-ae54-a684ec6c3c36,3,3,2016-09-10 21:11:21,False,12
379,2016-09-10 21:09:21,7aecde12-1cf6-4eb0-ae54-a684ec6c3c36,4,22,2016-09-10 21:11:21,True,34
385,2016-09-04 23:11:49,edcc08de-fc78-451e-83bf-0d1a20832203,1,4,2016-09-07 08:14:04,False,4
386,2016-09-07 07:07:04,edcc08de-fc78-451e-83bf-0d1a20832203,2,15,2016-09-07 08:14:04,True,19
389,2016-09-02 10:10:10,7019e6fb-6fcb-4cf1-9939-eebed188b6ca,1,4,2016-09-06 19:26:07,False,4
390,2016-09-04 10:10:21,7019e6fb-6fcb-4cf1-9939-eebed188b6ca,2,5,2016-09-06 19:26:07,False,9
391,2016-09-06 19:07:07,7019e6fb-6fcb-4cf1-9939-eebed188b6ca,3,5,2016-09-06 19:26:07,True,14
403,2016-09-04 15:03:32,0fca2a78-59ff-4451-bedf-fa19a223b7f6,1,1,2016-09-13 18:50:45,False,1
404,2016-09-06 23:11:01,0fca2a78-59ff-4451-bedf-fa19a223b7f6,2,6,2016-09-13 18:50:45,False,7
405,2016-09-10 23:11:26,0fca2a78-59ff-4451-bedf-fa19a223b7f6,3,2,2016-09-13 18:50:45,False,9
406,2016-09-13 18:06:45,0fca2a78-59ff-4451-bedf-fa19a223b7f6,4,3,2016-09-13 18:50:45,True,12
407,2016-09-04 00:12:18,97ea7c19-656b-47a9-a004-0c8b115ca5bd,1,12,2016-09-04 01:09:18,True,12
409,2016-09-03 16:04:32,3e04497d-fdf4-4f14-85d5-9583c5c02559,1,8,2016-09-03 16:35:32,True,8
418,2016-09-03 05:05:59,4a419733-7964-4a5a-aed4-4b3d07e1e60c,1,6,2016-09-12 13:23:59,False,6
419,2016-09-06 23:11:42,4a419733-7964-4a5a-aed4-4b3d07e1e60c,2,1,2016-09-12 13:23:59,False,7
420,2016-09-08 13:01:05,4a419733-7964-4a5a-aed4-4b3d07e1e60c,3,2,2016-09-12 13:23:59,False,9
421,2016-09-12 13:01:59,4a419733-7964-4a5a-aed4-4b3d07e1e60c,4,22,2016-09-12 13:23:59,True,31
423,2016-09-03 19:07:03,ab922c0c-be41-4882-9389-0cc3aec52986,1,4,2016-09-11 14:07:56,False,4
424,2016-09-07 13:01:16,ab922c0c-be41-4882-9389-0cc3aec52986,2,4,2016-09-11 14:07:56,False,8
425,2016-09-09 00:12:46,ab922c0c-be41-4882-9389-0cc3aec52986,3,2,2016-09-11 14:07:56,False,10
426,2016-09-11 14:02:56,ab922c0c-be41-4882-9389-0cc3aec52986,4,1,2016-09-11 14:07:56,True,11
428,2016-09-02 23:11:16,0cdcc8e5-fe70-4b97-9b9d-1b109ed9fb96,1,20,2016-09-06 13:18:26,False,20
429,2016-09-06 12:12:26,0cdcc8e5-fe70-4b97-9b9d-1b109ed9fb96,2,3,2016-09-06 13:18:26,True,23
435,2016-09-02 08:08:38,f3bfda5d-31b2-481d-b3d2-70e9047a6b9f,1,9,2016-09-05 10:48:47,False,9
436,2016-09-03 10:10:01,f3bfda5d-31b2-481d-b3d2-70e9047a6b9f,2,8,2016-09-05 10:48:47,False,17
437,2016-09-05 10:10:47,f3bfda5d-31b2-481d-b3d2-70e9047a6b9f,3,2,2016-09-05 10:48:47,True,19
442,2016-09-03 08:08:54,421bca56-d2f5-4010-af82-23c02fd9b147,1,7,2016-09-05 07:48:57,False,7
443,2016-09-05 07:07:57,421bca56-d2f5-4010-af82-23c02fd9b147,2,4,2016-09-05 07:48:57,True,11
446,2016-09-04 20:08:40,9202b0e7-6422-4110-a16c-7f32a260a7aa,1,14,2016-09-11 15:55:15,False,14
447,2016-09-06 05:05:58,9202b0e7-6422-4110-a16c-7f32a260a7aa,2,2,2016-09-11 15:55:15,False,16
448,2016-09-07 22:10:43,9202b0e7-6422-4110-a16c-7f32a260a7aa,3,2,2016-09-11 15:55:15,False,18
449,2016-09-09 02:02:34,9202b0e7-6422-4110-a16c-7f32a260a7aa,4,1,2016-09-11 15:55:15,False,19
450,2016-09-11 15:03:15,9202b0e7-6422-4110-a16c-7f32a260a7aa,5,7,2016-09-11 15:55:15,True,26
452,2016-09-03 17:05:50,ecc780f5-dca7-4b06-996a-cef32d5d6dfe,1,4,2016-09-09 11:57:35,False,4
453,2016-09-06 06:06:08,ecc780f5-dca7-4b06-996a-cef32d5d6dfe,2,1,2016-09-09 11:57:35,False,5
454,2016-09-07 18:06:04,ecc780f5-dca7-4b06-996a-cef32d5d6dfe,3,3,2016-09-09 11:57:35,False,8
455,2016-09-09 11:11:35,ecc780f5-dca7-4b06-996a-cef32d5d6dfe,4,12,2016-09-09 11:57:35,True,20
462,2016-09-04 05:05:38,c750c5a2-e977-4e25-83ef-9db87f7a82e3,1,5,2016-09-08 14:25:06,False,5
463,2016-09-06 20:08:53,c750c5a2-e977-4e25-83ef-9db87f7a82e3,2,2,2016-09-08 14:25:06,False,7
464,2016-09-08 14:02:06,c750c5a2-e977-4e25-83ef-9db87f7a82e3,3,13,2016-09-08 14:25:06,True,20
474,2016-09-03 00:12:57,c3ad8bb3-1ed7-4e35-a25c-8c2bfbe78b10,1,14,2016-09-03 00:40:57,True,14
478,2016-09-03 07:07:06,7b452609-9834-468f-b867-bac1848b9e90,1,2,2016-09-07 15:57:21,False,2
479,2016-09-05 08:08:08,7b452609-9834-468f-b867-bac1848b9e90,2,10,2016-09-07 15:57:21,False,12
480,2016-09-07 15:03:21,7b452609-9834-468f-b867-bac1848b9e90,3,7,2016-09-07 15:57:21,True,19
488,2016-09-02 03:03:58,293c509f-3013-4406-bdbc-47d8027b0adb,1,15,2016-09-04 10:31:29,False,15
489,2016-09-04 10:10:29,293c509f-3013-4406-bdbc-47d8027b0adb,2,12,2016-09-04 10:31:29,True,27
491,2016-09-02 16:04:08,c451e823-ab40-4c32-80d8-a80dc53506e7,1,1,2016-09-11 17:45:17,False,1
492,2016-09-05 22:10:52,c451e823-ab40-4c32-80d8-a80dc53506e7,2,2,2016-09-11 17:45:17,False,3
493,2016-09-08 09:09:27,c451e823-ab40-4c32-80d8-a80dc53506e7,3,9,2016-09-11 17:45:17,False,12
494,2016-09-11 17:05:17,c451e823-ab40-4c32-80d8-a80dc53506e7,4,2,2016-09-11 17:45:17,True,14
495,2016-09-03 01:01:22,e00dcc9a-97d7-49e8-af8b-6b5063945d0a,1,3,2016-09-19 13:53:41,False,3
496,2016-09-06 11:11:18,e00dcc9a-97d7-49e8-af8b-6b5063945d0a,2,3,2016-09-19 13:53:41,False,6
497,2016-09-10 06:06:11,e00dcc9a-97d7-49e8-af8b-6b5063945d0a,3,5,2016-09-19 13:53:41,False,11
498,2016-09-13 19:07:01,e00dcc9a-97d7-49e8-af8b-6b5063945d0a,4,2,2016-09-19 13:53:41,False,13
